tick,temperature,pressure
138591,3645,90916
139711,3648,90915
140820,3645,90910
141929,3648,90915
143039,3650,90909
144150,3650,90913
145267,3640,90910
146384,3650,90908
147495,3653,90918
148621,3653,90911
149730,3653,90910
150848,3651,90910
151959,3653,90908
153069,3657,90910
154181,3657,90910
155290,3646,90908
156399,3657,90912
157511,3655,90907
158621,3662,90914
159748,3660,90914
160865,3660,90907
161975,3662,90916
163088,3663,90909
164213,3663,90910
165333,3655,90915
166448,3663,90913
167567,3667,90914
168681,3667,90910
169802,3670,90916
170922,3667,90913
172041,3668,90914
173153,3670,90913
174263,3672,90916
175370,3663,90910
176480,3672,90914
177590,3673,90916
178702,3673,90912
179811,3677,90918
180924,3675,90908
182039,3677,90916
183149,3677,90912
184261,3678,90913
185366,3670,90906
186470,3680,90910
187579,3677,90914
188685,3682,90914
189807,3683,90917
190928,3680,90907
192038,3683,90913
193152,3685,90912
194260,3687,90910
195372,3678,90912
196486,3687,90910
197602,3687,90915
198716,3687,90912
199824,3690,90917
200938,3688,90917
202054,3688,90913
203170,3692,90919
204282,3692,90918
205396,3685,90907
206509,3692,90914
207623,3693,90915
208731,3695,90913
209843,3695,90915
210956,3697,90919
212059,3695,90913
213167,3697,90912
214286,3698,90917
215404,3692,90911
216526,3700,90914
217633,3697,90913
218743,3700,90914
219866,3702,90915
220976,3700,90911
222087,3702,90911
223203,3702,90913
224313,3703,90916
225437,3700,90914
226551,3705,90914
227667,3705,90912
228779,3705,90914
229898,3708,90918
231012,3708,90917
232125,3710,90917
233245,3710,90913
234361,3710,90915
235473,3707,90910
236585,3712,90914
237695,3713,90914
238809,3712,90911
239916,3712,90916
241030,3715,90913
242145,3713,90915
243264,3717,90915
244382,3715,90917
245494,3712,90909
246604,3718,90916
247714,3718,90909
248823,3720,90916
249930,3718,90913
251042,3718,90916
252161,3720,90917
253276,3720,90912
254386,3722,90912
255498,3718,90915
256612,3722,90911
257716,3725,90911
258838,3722,90913
259944,3725,90915
261058,3725,90911
262168,3727,90914
263291,3727,90911
264407,3727,90910
265521,3724,90910
266633,3729,90907
267743,3730,90909
268846,3729,90911
269960,3730,90912
271076,3730,90913
272203,3732,90910
273311,3734,90913
274419,3734,90909
275539,3729,90911
276660,3735,90912
277772,3737,90911
278881,3737,90908
279986,3735,90908
281100,3735,90908
282208,3739,90913
283320,3739,90910
284431,3740,90915
285542,3735,90908
286656,3739,90908
287766,3742,90910
288883,3742,90911
289991,3744,90909
291099,3740,90912
292209,3742,90912
293319,3744,90906
294431,3745,90912
295546,3740,90908
296657,3745,90906
297771,3745,90910
298879,3749,90912
299991,3749,90912
301113,3747,90903
302235,3747,90909
303343,3750,90910
304466,3750,90907
305583,3745,90906
306707,3752,90909
307816,3752,90910
308926,3754,90913
310038,3754,90906
311152,3752,90910
312268,3754,90913
313378,3752,90912
314488,3757,90913
315589,3752,90910
316702,3757,90908
317812,3757,90910
318928,3759,90911
320038,3759,90909
321146,3757,90911
322260,3759,90912
323368,3760,90911
324482,3760,90907
325600,3757,90911
326709,3764,90910
327820,3762,90910
328932,3764,90911
330044,3764,90907
331156,3764,90904
332273,3764,90909
333385,3764,90910
334495,3765,90904
335613,3762,90908
336723,3767,90905
337836,3769,90908
338946,3770,90912
340057,3770,90907
341176,3769,90907
342293,3770,90906
343407,3769,90904
344515,3770,90904
345639,3767,90906
346751,3772,90906
347872,3775,90911
348989,3774,90913
350099,3774,90905
351222,3775,90915
352336,3775,90908
353452,3774,90911
354564,3775,90906
355676,3774,90909
356794,3777,90911
357908,3779,90913
359029,3780,90912
360147,3779,90910
361259,3780,90909
362364,3777,90901
363476,3780,90911
364586,3780,90909
365702,3777,90903
366812,3784,90912
367937,3784,90908
369048,3786,90911
370165,3786,90909
371276,3784,90904
372399,3787,90912
373516,3786,90906
374629,3787,90914
375741,3784,90902
376853,3787,90909
377974,3791,90914
379087,3789,90907
380197,3791,90911
381311,3789,90905
382425,3791,90907
383543,3789,90910
384653,3789,90907
385765,3789,90912
386877,3791,90907
387987,3796,90909
389107,3796,90910
390221,3794,90901
391337,3794,90894
392451,3796,90906
393563,3797,90904
394680,3796,90900
395796,3794,90911
396906,3797,90899
398018,3797,90906
399123,3799,90906
400248,3799,90904
401365,3799,90905
402473,3801,90907
403590,3799,90904
404702,3802,90909
405816,3799,90907
406928,3802,90911
408039,3806,90909
409151,3804,90909
410261,3806,90905
411383,3804,90906
412494,3802,90907
413605,3806,90911
414710,3804,90909
415822,3802,90905
416932,3806,90903
418044,3809,90907
419154,3809,90906
420268,3809,90908
421381,3809,90900
422494,3809,90904
423606,3811,90904
424724,3809,90904
425840,3806,90904
426949,3809,90899
428070,3812,90905
429178,3812,90906
430286,3816,90907
431404,3812,90904
432513,3816,90904
433639,3814,90904
434751,3817,90899
435854,3812,90902
436970,3814,90903
438078,3819,90905
439190,3817,90899
440299,3819,90902
441420,3821,90904
442534,3819,90893
443646,3819,90892
444763,3819,90900
445879,3816,90895
446993,3819,90900
448105,3822,90900
449215,3822,90903
450338,3822,90900
451452,3822,90899
452578,3824,90900
453690,3824,90900
454804,3817,90897
455920,3821,90900
457030,3824,90902
458155,3824,90898
459263,3826,90899
460379,3826,90904
461497,3826,90903
462605,3827,90898
463724,3826,90900
464832,3829,90903
465940,3824,90905
467052,3827,90900
468160,3829,90904
469269,3829,90905
470379,3831,90903
471491,3832,90904
472605,3832,90905
473725,3834,90906
474830,3832,90899
475942,3831,90900
477057,3832,90899
478171,3832,90903
479286,3834,90908
480396,3836,90904
481510,3836,90902
482618,3837,90905
483728,3836,90902
484837,3837,90902
485942,3834,90905
487058,3837,90905
488159,3837,90898
489269,3841,90906
490379,3841,90906
491491,3841,90902
492604,3841,90901
493714,3841,90898
494823,3842,90902
495938,3839,90903
497047,3839,90900
498163,3839,90898
499271,3844,90909
500385,3842,90900
501497,3842,90896
502624,3844,90904
503732,3846,90906
504854,3848,90906
505971,3844,90904
507095,3846,90905
508202,3846,90910
509312,3844,90901
510437,3848,90904
511548,3844,90902
512670,3849,90903
513785,3849,90905
514900,3849,90905
516004,3848,90905
517113,3846,90895
518223,3851,90903
519339,3849,90905
520449,3851,90904
521561,3853,90904
522675,3853,90901
523783,3854,90898
524897,3853,90904
526010,3851,90901
527122,3853,90900
528234,3854,90904
529352,3854,90905
530464,3854,90905
531577,3854,90901
532690,3856,90903
533803,3858,90902
534930,3858,90904
536040,3856,90903
537151,3858,90900
538267,3858,90906
539389,3859,90907
540507,3858,90907
541621,3858,90902
542729,3861,90907
543844,3861,90907
544952,3863,90903
546065,3861,90908
547178,3861,90904
548289,3863,90902
549402,3859,90907
550512,3863,90909
551631,3864,90907
552745,3863,90904
553853,3866,90909
554965,3864,90905
556077,3864,90904
557185,3866,90908
558298,3866,90901
559416,3864,90906
560530,3864,90898
561644,3864,90896
562756,3868,90905
563866,3868,90900
564984,3868,90899
566098,3866,90898
567208,3868,90898
568319,3868,90899
569434,3868,90901
570549,3869,90909
571667,3868,90903
572775,3871,90904
573889,3871,90901
574997,3871,90901
576112,3871,90903
577225,3873,90901
578348,3873,90902
579464,3873,90904
580584,3874,90905
581696,3871,90900
582809,3871,90899
583928,3874,90899
585042,3874,90899
586154,3874,90901
587267,3876,90902
588375,3878,90900
589483,3878,90900
590599,3876,90900
591712,3878,90899
592831,3874,90897
593942,3878,90901
595064,3879,90903
596179,3878,90899
597288,3879,90906
598398,3879,90903
599509,3881,90903
600630,3878,90902
601742,3879,90898
602854,3881,90904
603973,3879,90901
605081,3883,90905
606195,3881,90899
607307,3884,90902
608417,3884,90900
609530,3886,90906
610642,3884,90901
611758,3884,90903
612876,3884,90901
613984,3886,90901
615098,3886,90900
616210,3884,90900
617336,3886,90899
618444,3888,90898
619558,3888,90902
620673,3888,90900
621779,3888,90904
622897,3886,90900
624007,3889,90906
625124,3889,90901
626240,3888,90899
627349,3891,90899
628461,3891,90901
629572,3891,90896
630697,3891,90903
631825,3891,90901
632928,3889,90898
634040,3891,90903
635148,3893,90903
636262,3893,90900
637378,3893,90897
638488,3894,90900
639597,3893,90897
640708,3896,90899
641836,3894,90900
642950,3894,90899
644066,3894,90900
645179,3894,90897
646291,3894,90901
647404,3896,90901
648513,3899,90899
649622,3899,90902
650734,3899,90904
651848,3899,90899
652964,3899,90904
654074,3898,90898
655185,3894,90896
656303,3898,90898
657411,3901,90899
658520,3903,90899
659632,3901,90900
660742,3903,90899
661857,3903,90898
662968,3903,90903
664086,3899,90897
665202,3901,90897
666316,3899,90896
667425,3901,90901
668548,3903,90898
669660,3903,90896
670770,3906,90904
671882,3906,90901
672997,3906,90900
674121,3906,90897
675230,3903,90900
676342,3903,90897
677452,3906,90897
678564,3908,90900
679672,3908,90899
680784,3908,90900
681897,3908,90900
683018,3911,90903
684137,3908,90900
685246,3910,90900
686357,3904,90896
687469,3910,90900
688590,3911,90900
689702,3911,90899
690812,3915,90905
691926,3913,90902
693036,3913,90901
694161,3913,90898
695273,3913,90899
696388,3911,90897
697491,3911,90897
698600,3913,90894
699710,3915,90899
700822,3916,90900
701934,3916,90898
703046,3915,90895
704153,3918,90900
705273,3916,90899
706391,3915,90897
707505,3915,90894
708617,3916,90895
709727,3918,90902
710843,3920,90897
711961,3918,90895
713069,3920,90892
714183,3920,90897
715292,3921,90895
716417,3915,90894
717529,3918,90901
718639,3920,90898
719751,3921,90899
720861,3921,90899
721973,3923,90897
723092,3921,90895
724211,3923,90898
725326,3923,90892
726450,3923,90893
727575,3921,90903
728683,3923,90897
729805,3926,90898
730949,3913,90896
732074,3925,90895
733185,3926,90899
734306,3926,90892
735421,3926,90899
736531,3926,90895
737644,3923,90891
738751,3926,90896
739859,3928,90895
740968,3915,90891
742077,3928,90895
743197,3930,90898
744311,3930,90898
745430,3931,90903
746553,3930,90899
747664,3930,90901
748780,3928,90899
749888,3931,90905
751000,3923,90900
752112,3933,90902
753220,3933,90902
754330,3933,90897
755440,3933,90900
756552,3933,90896
757661,3931,90899
758775,3931,90891
759893,3933,90897
761005,3925,90894
762113,3935,90892
763227,3935,90898
764335,3936,90896
765449,3935,90893
766558,3935,90897
767678,3935,90897
768794,3933,90897
769904,3938,90903
771016,3928,90899
772128,3938,90899
773245,3940,90896
774359,3938,90897
775467,3940,90899
776580,3938,90897
777693,3940,90899
778811,3938,90898
779927,3938,90898
781039,3930,90895
782151,3940,90900
783261,3940,90893
784381,3943,90902
785495,3941,90897
786607,3943,90895
787722,3941,90900
788830,3943,90902
789951,3941,90899
791060,3933,90898
792170,3945,90900
793282,3945,90899
794392,3946,90901
795512,3945,90894
796628,3945,90896
797738,3946,90901
798846,3943,90896
799960,3943,90901
801072,3938,90895
802186,3945,90897
803294,3948,90899
804408,3946,90895
805516,3950,90899
806630,3950,90898
807743,3950,90900
808878,3943,90890
809992,3946,90900
811108,3940,90892
812216,3950,90895
813330,3950,90894
814449,3951,90890
815563,3951,90895
816675,3951,90888
817787,3953,90896
818896,3953,90892
820011,3950,90891
821131,3941,90893
822241,3953,90896
823363,3951,90897
824473,3953,90894
825596,3955,90894
826710,3953,90897
827826,3955,90895
828937,3955,90895
830060,3956,90890
831176,3945,90890
832287,3953,90887
833407,3956,90890
834521,3956,90889
835629,3960,90897
836747,3956,90897
837852,3958,90892
838975,3960,90892
840089,3958,90890
841200,3953,90885
842311,3956,90889
843420,3958,90892
844539,3961,90892
845653,3960,90886
846769,3960,90894
847883,3961,90890
848991,3961,90890
850104,3961,90889
851211,3953,90891
852322,3960,90890
853432,3961,90892
854542,3963,90893
855667,3963,90896
856779,3961,90885
857889,3963,90887
858999,3965,90890
860109,3965,90892
861221,3955,90882
862333,3961,90888
863441,3965,90890
864559,3965,90887
865676,3965,90890
866791,3965,90880
867901,3966,90890
869011,3968,90883
870123,3968,90884
871249,3961,90884
872374,3963,90882
873484,3965,90884
874604,3968,90880
875718,3968,90886
876826,3968,90884
877939,3968,90889
879047,3972,90888
880173,3970,90885
881289,3968,90888
882403,3970,90879
883510,3966,90882
884620,3970,90887
885745,3972,90889
886859,3970,90885
887967,3973,90891
889081,3973,90894
890191,3973,90886
891311,3966,90883
892425,3972,90891
893534,3973,90892
894648,3970,90891
895756,3975,90888
896869,3975,90891
897981,3975,90890
899091,3977,90887
900203,3975,90882
901317,3972,90883
902420,3975,90887
903535,3973,90889
904643,3975,90888
905763,3975,90891
906875,3977,90886
907987,3977,90888
909096,3978,90890
910204,3980,90891
911316,3975,90888
912430,3978,90892
913545,3978,90884
914667,3977,90889
915775,3980,90891
916891,3978,90885
917999,3980,90885
919119,3982,90885
920231,3982,90887
921345,3978,90888
922454,3980,90884
923564,3982,90885
924680,3982,90883
925796,3982,90890
926908,3982,90886
928020,3983,90889
929130,3982,90883
930251,3985,90892
931361,3978,90885
932469,3985,90888
933585,3983,90887
934709,3985,90889
935828,3983,90888
936936,3983,90887
938046,3985,90888
939158,3985,90884
940268,3987,90885
941380,3983,90883
942494,3987,90882
943605,3988,90889
944723,3987,90884
945832,3988,90892
946953,3983,90883
948062,3987,90883
949177,3988,90885
950289,3988,90884
951411,3987,90890
952523,3990,90889
953635,3990,90884
954748,3990,90885
955863,3988,90884
956987,3990,90882
958090,3990,90885
959198,3992,90886
960307,3993,90888
961421,3988,90882
962531,3993,90882
963643,3992,90881
964760,3990,90878
965871,3990,90886
966985,3992,90888
968088,3993,90883
969204,3993,90883
970314,3993,90883
971426,3992,90885
972540,3995,90886
973648,3997,90886
974762,3997,90889
975880,3998,90888
976990,3995,90882
978106,3997,90890
979226,3995,90885
980334,3993,90882
981447,3992,90879
982572,3997,90882
983681,3998,90885
984803,3998,90886
985921,3998,90886
987046,3997,90883
988162,3997,90881
989270,3997,90883
990382,3998,90886
991494,3997,90889
992604,4000,90885
993713,3998,90885
994823,4002,90883
995941,3998,90884
997057,3998,90884
998181,4000,90885
999301,4000,90881
1000411,4002,90890
1001527,3997,90885
1002635,4002,90882
1003755,4003,90889
1004869,4003,90886
1005985,4002,90884
1007099,3997,90882
1008208,4002,90889
1009335,4003,90886
1010448,4003,90885
1011563,4002,90889
1012675,4003,90889
1013785,4005,90882
1014897,4005,90888
1016007,4005,90885
1017115,4003,90884
1018221,4003,90884
1019334,4003,90880
1020444,4007,90888
1021557,4002,90881
1022667,4008,90890
1023779,4007,90880
1024889,4008,90885
1026011,4008,90882
1027123,4005,90882
1028248,4007,90884
1029364,4005,90881
1030474,4007,90883
1031586,4007,90882
1032695,4005,90878
1033808,4010,90885
1034924,4010,90888
1036033,4010,90882
1037148,4008,90880
1038253,4008,90883
1039364,4010,90886
1040475,4010,90879
1041593,4007,90885
1042701,4010,90881
1043816,4012,90881
1044925,4013,90885
1046053,4012,90881
1047165,4012,90877
1048280,4010,90875
1049396,4010,90884
1050506,4013,90881
1051610,4010,90881
1052728,4013,90880
1053837,4015,90876
1054952,4013,90878
1056061,4015,90884
1057174,4015,90875
1058290,4015,90886
1059416,4017,90881
1060530,4015,90884
1061649,4012,90881
1062762,4015,90880
1063869,4013,90884
1064979,4018,90882
1066093,4017,90883
1067205,4017,90883
1068314,4013,90879
1069423,4017,90884
1070541,4017,90884
1071661,4015,90885
1072771,4017,90880
1073883,4018,90888
1074993,4017,90880
1076115,4020,90882
1077231,4020,90883
1078351,4018,90880
1079458,4017,90886
1080568,4018,90882
1081697,4017,90882
1082811,4018,90884
1083928,4022,90885
1085042,4020,90881
1086162,4020,90876
1087280,4022,90878
1088389,4022,90886
1089492,4020,90879
1090604,4020,90877
1091717,4020,90881
1092827,4020,90881
1093940,4023,90888
1095048,4023,90883
1096165,4022,90879
1097278,4023,90883
1098380,4023,90883
1099496,4023,90886
1100617,4025,90878
1101727,4020,90879
1102837,4025,90884
1103951,4023,90881
1105061,4025,90883
1106188,4025,90881
1107296,4025,90883
1108423,4025,90885
1109537,4025,90886
1110647,4025,90880
1111772,4025,90882
1112885,4027,90886
1114005,4028,90882
1115123,4027,90879
1116231,4028,90879
1117349,4028,90884
1118470,4030,90883
1119585,4025,90883
1120690,4027,90882
1121814,4028,90888
1122927,4028,90883
1124048,4030,90882
1125165,4030,90890
1126275,4030,90881
1127427,4030,90886
1128537,4032,90886
1129654,4028,90881
1130764,4030,90881
1131878,4028,90884
1132991,4030,90881
1134102,4032,90883
1135213,4033,90886
1136327,4032,90888
1137444,4030,90881
1138558,4032,90885
1139678,4033,90886
1140787,4030,90883
1141899,4030,90880
1143009,4033,90882
1144126,4033,90886
1145236,4035,90887
1146348,4033,90886
1147462,4035,90884
1148582,4035,90883
1149695,4035,90885
1150806,4035,90882
1151912,4033,90884
1153024,4035,90885
1154148,4035,90879
1155264,4035,90882
1156366,4035,90879
1157478,4037,90880
1158592,4037,90883
1159708,4037,90886
1160822,4037,90886
1161934,4037,90882
1163044,4033,90880
1164154,4039,90882
1165264,4039,90877
1166382,4037,90880
1167494,4039,90883
1168608,4039,90886
1169716,4039,90877
1170821,4037,90884
1171937,4035,90878
1173047,4039,90879
1174161,4042,90887
1175276,4040,90883
1176396,4042,90882
1177503,4039,90881
1178611,4042,90883
1179733,4042,90882
1180845,4042,90876
1181948,4040,90881
1183064,4040,90881
1184172,4044,90884
1185297,4044,90882
1186408,4042,90876
1187531,4044,90880
1188645,4045,90887
1189753,4044,90879
1190867,4044,90880
1191972,4042,90882
1193093,4044,90879
1194205,4045,90885
1195315,4045,90880
1196439,4045,90886
1197557,4044,90875
1198682,4045,90876
1199790,4045,90883
1200916,4045,90882
1202034,4044,90881
1203144,4045,90878
1204256,4045,90878
1205372,4045,90883
1206522,4037,90878
1207636,4045,90878
1208744,4049,90878
1209857,4049,90884
1210981,4047,90876
1212090,4045,90873
1213198,4049,90867
1214307,4049,90873
1215419,4049,90876
1216546,4040,90876
1217662,4049,90881
1218772,4050,90880
1219896,4049,90878
1221006,4050,90880
1222123,4050,90880
1223233,4047,90874
1224343,4050,90880
1225468,4050,90872
1226582,4042,90881
1227691,4052,90877
1228809,4050,90880
1229917,4052,90880
1231031,4052,90880
1232143,4052,90878
1233248,4050,90876
1234358,4052,90883
1235466,4054,90883
1236578,4044,90875
1237693,4054,90881
1238803,4054,90877
1239921,4054,90878
1241041,4055,90878
1242156,4050,90879
1243268,4054,90881
1244388,4055,90885
1245500,4055,90882
1246614,4047,90873
1247727,4055,90882
1248839,4055,90880
1249957,4057,90880
1251071,4059,90881
1252183,4057,90879
1253290,4055,90880
1254398,4057,90882
1255521,4059,90881
1256635,4050,90875
1257758,4059,90877
1258876,4057,90878
1259990,4059,90879
1261104,4057,90879
1262209,4057,90879
1263320,4060,90878
1264427,4057,90871
1265535,4059,90878
1266659,4054,90875
1267771,4060,90880
1268892,4060,90875
1270010,4060,90877
1271118,4060,90878
1272236,4059,90871
1273344,4062,90861
1274449,4059,90871
1275562,4062,90879
1276675,4055,90874
1277788,4064,90878
1278902,4062,90876
1280021,4064,90877
1281126,4064,90881
1282238,4064,90871
1283350,4064,90875
1284462,4064,90876
1285573,4065,90879
1286689,4057,90871
1287799,4065,90873
1288909,4065,90873
1290020,4065,90873
1291128,4065,90871
1292241,4064,90873
1293349,4067,90875
1294466,4064,90873
1295578,4064,90868
1296690,4059,90864
1297802,4064,90866
1298910,4067,90874
1300024,4067,90875
1301131,4067,90864
1302235,4067,90870
1303347,4067,90866
1304471,4069,90869
1305588,4065,90874
1306700,4059,90865
1307808,4067,90867
1308923,4069,90872
1310037,4069,90876
1311156,4069,90874
1312268,4069,90875
1313378,4069,90873
1314490,4069,90876
1315612,4070,90871
1316719,4062,90874
1317833,4070,90875
1318948,4070,90875
1320064,4070,90872
1321173,4072,90873
1322289,4069,90866
1323401,4070,90871
1324515,4070,90862
1325629,4070,90874
1326743,4064,90869
1327860,4070,90869
1328970,4074,90874
1330092,4074,90877
1331204,4074,90874
1332318,4072,90872
1333433,4072,90877
1334543,4074,90875
1335663,4070,90870
1336777,4065,90874
1337885,4074,90875
1338999,4074,90874
1340118,4075,90875
1341232,4074,90878
1342345,4075,90875
1343466,4077,90880
1344582,4075,90877
1345699,4074,90879
1346819,4069,90878
1347926,4075,90878
1349038,4074,90873
1350148,4075,90876
1351268,4079,90881
1352387,4075,90874
1353495,4079,90875
1354600,4075,90880
1355708,4079,90878
1356826,4072,90874
1357942,4077,90876
1359052,4079,90879
1360166,4079,90878
1361271,4077,90878
1362387,4079,90876
1363510,4075,90874
1364620,4079,90879
1365732,4080,90878
1366837,4072,90873
1367949,4080,90878
1369063,4080,90879
1370171,4082,90880
1371285,4080,90875
1372397,4080,90878
1373508,4082,90877
1374624,4080,90882
1375732,4080,90880
1376839,4072,90871
1377951,4080,90881
1379059,4082,90876
1380173,4080,90879
1381284,4082,90868
1382404,4082,90870
1383516,4082,90871
1384639,4082,90868
1385755,4082,90870
1386868,4077,90870
1387988,4080,90873
1389099,4082,90870
1390218,4084,90875
1391332,4084,90872
1392445,4084,90872
1393559,4084,90864
1394668,4085,90867
1395778,4085,90872
1396894,4079,90870
1398004,4085,90871
1399111,4084,90870
1400221,4085,90871
1401343,4087,90870
1402459,4085,90867
1403571,4085,90876
1404682,4085,90866
1405796,4085,90864
1406909,4080,90867
1408031,4082,90864
1409139,4085,90868
1410253,4085,90868
1411361,4087,90867
1412476,4085,90861
1413595,4089,90872
1414716,4089,90869
1415833,4087,90870
1416946,4082,90868
1418059,4085,90868
1419172,4089,90868
1420280,4089,90868
1421394,4089,90870
1422506,4090,90870
1423621,4089,90868
1424730,4090,90873
1425851,4092,90876
1426959,4084,90866
1428073,4089,90870
1429187,4089,90870
1430297,4090,90873
1431415,4087,90869
1432524,4089,90870
1433632,4092,90875
1434744,4092,90875
1435854,4092,90872
1436966,4087,90874
1438082,4089,90865
1439206,4094,90878
1440324,4090,90874
1441432,4094,90876
1442550,4090,90870
1443656,4094,90876
1444779,4094,90873
1445891,4094,90873
1447017,4089,90867
1448133,4092,90872
1449242,4092,90870
1450350,4092,90869
1451464,4094,90877
1452577,4094,90874
1453690,4094,90880
1454799,4095,90878
1455921,4097,90877
1457037,4092,90869
1458160,4097,90875
1459276,4095,90872
1460384,4094,90874
1461491,4094,90872
1462606,4095,90872
1463715,4097,90870
1464829,4095,90869
1465939,4097,90876
1467051,4094,90868
1468172,4095,90872
1469283,4097,90873
1470393,4094,90868
1471502,4097,90863
1472616,4097,90870
1473728,4097,90868
1474848,4099,90867
1475963,4099,90872
1477077,4094,90867
1478190,4097,90865
1479305,4097,90865
1480422,4097,90871
1481536,4097,90866
1482646,4097,90869
1483760,4097,90867
1484869,4099,90867
1485991,4101,90864
1487101,4095,90864
1488211,4101,90873
1489322,4099,90869
1490436,4099,90870
1491552,4099,90871
1492670,4099,90869
1493778,4102,90873
1494892,4101,90871
1496000,4102,90871
1497101,4097,90869
1498213,4101,90870
1499334,4102,90873
1500449,4101,90869
1501567,4101,90872
1502695,4101,90870
1503803,4101,90871
1504913,4102,90867
1506026,4101,90869
1507141,4099,90868
1508249,4106,90868
1509363,4104,90875
1510484,4106,90873
1511597,4099,90871
1512709,4102,90873
1513832,4104,90871
1514945,4104,90876
1516054,4106,90876
1517174,4099,90870
1518284,4104,90866
1519404,4106,90869
1520519,4106,90868
1521633,4104,90873
1522743,4102,90871
1523858,4106,90868
1524979,4106,90870
1526091,4107,90869
1527203,4104,90869
1528315,4106,90866
1529425,4107,90870
1530549,4107,90871
1531663,4106,90871
1532767,4106,90867
1533870,4104,90863
1534985,4107,90865
1536107,4107,90862
1537221,4104,90868
1538331,4107,90867
1539443,4109,90870
1540551,4109,90873
1541669,4106,90862
1542787,4106,90866
1543897,4107,90867
1545009,4107,90868
1546118,4107,90865
1547230,4107,90873
1548341,4107,90868
1549449,4112,90873
1550563,4109,90870
1551671,4109,90867
1552792,4107,90867
1553914,4107,90864
1555024,4109,90864
1556136,4109,90866
1557249,4106,90862
1558357,4112,90867
1559479,4111,90874
1560589,4112,90867
1561703,4112,90871
1562816,4112,90867
1563937,4109,90869
1565049,4111,90869
1566159,4112,90867
1567275,4107,90868
1568385,4112,90870
1569510,4111,90861
1570620,4114,90867
1571735,4112,90870
1572856,4111,90872
1573980,4111,90863
1575096,4112,90866
1576206,4114,90869
1577330,4112,90865
1578444,4114,90867
1579552,4116,90874
1580666,4114,90863
1581785,4116,90871
1582911,4111,90871
1584023,4112,90870
1585143,4114,90867
1586255,4114,90865
1587367,4114,90871
1588478,4114,90870
1589589,4116,90867
1590701,4117,90875
1591815,4116,90871
1592927,4116,90870
1594051,4111,90866
1595159,4116,90875
1596281,4116,90867
1597395,4114,90870
1598505,4117,90877
1599617,4116,90869
1600725,4117,90867
1601836,4112,90868
1602945,4116,90864
1604071,4116,90868
1605178,4114,90871
1606286,4114,90864
1607398,4116,90866
1608510,4117,90865
1609618,4119,90870
1610732,4117,90868
1611838,4117,90863
1612952,4119,90868
1614065,4119,90874
1615183,4117,90867
1616298,4116,90871
1617412,4116,90872
1618539,4119,90874
1619648,4119,90869
1620767,4121,90876
1621874,4119,90866
1622986,4121,90871
1624099,4121,90873
1625207,4119,90871
1626325,4117,90868
1627441,4119,90870
1628551,4121,90873
1629661,4121,90868
1630781,4122,90870
1631893,4121,90872
1633005,4121,90867
1634115,4121,90870
1635230,4119,90869
1636352,4122,90875
1637459,4119,90865
1638571,4119,90870
1639685,4121,90865
1640799,4122,90870
1641907,4124,90870
1643025,4121,90864
1644131,4124,90873
1645251,4122,90870
1646375,4121,90875
1647489,4119,90870
1648601,4122,90873
1649711,4122,90875
1650831,4124,90875
1651945,4124,90868
1653083,4124,90874
1654197,4124,90868
1655323,4122,90866
1656432,4121,90871
1657537,4119,90867
